
iter,llc_rd,llc_wr,mem_rd,mem_wr,decision,token
203,5,1,0,0,-,-29080
204,0,0,0,0,R,142920
205,31,14,8,0,H,-44040
206,7,3,2,0,R,45720
207,30,17,7,0,H,-125120
208,5,3,0,0,-,-3120
209,0,0,0,0,R,168880
210,30,16,8,0,H,-8080
211,9,5,1,0,R,67800
212,27,17,7,0,H,-73040
213,7,2,2,0,R,16720
214,28,20,6,0,H,-128000
215,6,3,2,0,-,-28240
216,0,0,0,0,R,143760
217,31,14,8,0,H,-43200
218,5,4,0,0,R,78800
219,31,13,8,0,H,-108160
220,5,3,2,0,R,1600
221,30,17,7,0,H,-169240
222,5,3,0,0,-,-47240
223,0,0,0,0,R,124760
224,29,17,8,0,H,-42200
225,6,3,1,0,R,63680
226,29,17,7,0,H,-97160
227,5,3,2,0,R,12600
228,32,13,7,0,H,-178240
229,7,4,1,0,-,-82360
230,0,0,0,0,R,89640
231,31,14,8,0,H,-97320
232,7,4,1,0,-,-1440
233,0,0,0,0,R,170560
234,28,19,7,0,-,19720
235,38,20,10,0,H,-249480
236,8,2,2,0,-,-169720
237,0,0,0,0,R,2280
238,31,15,7,0,H,-178560
239,7,2,1,0,-,-82680
240,0,0,0,0,R,89320
241,30,16,7,0,H,-81520
242,6,3,2,0,R,18240
243,32,12,8,0,H,-178720
244,5,4,2,0,-,-68960
245,0,0,0,0,R,103040
246,28,20,6,0,H,-41680
247,6,3,1,0,R,64200
248,30,16,7,0,H,-106640
249,6,3,2,0,-,-6880
250,0,0,0,0,R,165120
251,28,20,7,0,-,14280
252,39,19,9,0,H,-258800
253,5,3,1,0,-,-142920
254,0,0,0,0,R,29080
255,31,13,8,0,H,-157880
256,5,4,2,0,-,-48120
257,0,0,0,0,R,123880
258,31,14,8,0,H,-63080
259,5,2,0,0,R,58920
260,30,15,8,0,H,-118040
261,5,1,2,0,-,-8280
262,0,0,0,0,R,163720
263,31,14,8,0,H,-23240
264,5,3,0,0,R,98760
265,28,15,8,0,H,-58200
266,5,5,0,0,R,63800
267,31,14,8,0,H,-123160
268,6,2,2,0,-,-23400
269,0,0,0,0,R,148600
270,31,13,8,0,H,-38360
271,7,1,1,0,R,57520
272,29,18,7,0,H,-103320
273,6,2,2,0,-,-3560
274,0,0,0,0,R,168440
275,29,18,6,0,-,13720
276,40,17,10,0,H,-275480
277,3,3,0,0,-,-133480
278,0,0,0,0,R,38520
279,29,17,8,0,H,-128440
280,9,7,0,0,-,-46440
281,0,0,0,0,R,125560
282,28,15,8,0,H,-31400
283,8,4,1,0,R,54480
284,31,14,7,0,H,-126360
285,6,4,1,0,-,-20480
286,0,0,0,0,R,151520
287,28,19,7,0,-,680
288,39,20,8,0,H,-266280
289,5,2,0,0,-,-144280
290,0,0,0,0,R,27720
291,30,15,8,0,H,-149240
292,8,3,2,0,-,-69480
293,0,0,0,0,R,102520
294,31,14,8,0,H,-84440
295,5,3,0,0,R,37560
296,32,12,8,0,H,-159400
297,7,4,2,0,-,-69640
298,0,0,0,0,R,102360
299,28,17,6,0,H,-42360
300,5,3,1,0,R,73520
301,29,17,8,0,H,-93440
302,8,2,0,0,-,-1440
303,0,0,0,0,R,170560
304,33,10,8,0,H,-36400
305,5,2,1,0,R,79480
306,29,16,8,0,H,-87480
307,7,3,1,0,R,8400
308,30,16,7,0,H,-162440
309,4,3,2,0,-,-42680
310,0,0,0,0,R,129320
311,32,13,8,0,H,-67640
312,9,2,2,0,R,2120
313,30,16,7,0,H,-168720
314,7,4,0,0,-,-66720
315,0,0,0,0,R,105280
316,28,15,8,0,H,-51680
317,8,4,1,0,R,34200
318,29,18,7,0,H,-126640
319,5,2,2,0,-,-16880
320,0,0,0,0,R,155120
321,31,15,8,0,H,-31840
322,6,4,0,0,R,80160
323,32,12,8,0,H,-116800
324,5,2,2,0,-,-7040
325,0,0,0,0,R,164960
326,30,16,8,0,H,-12000
327,7,3,1,0,R,83880
328,28,19,7,0,H,-66960
329,5,3,2,0,R,42800
330,30,17,7,0,H,-128040
331,6,5,0,0,-,-16040
332,0,0,0,0,R,155960
333,30,11,8,0,H,-21000
334,6,3,1,0,R,84880
335,29,17,7,0,H,-75960
336,5,3,2,0,R,33800
337,30,17,7,0,H,-137040
338,6,5,0,0,-,-25040
339,0,0,0,0,R,146960
340,29,16,8,0,H,-20000
341,7,4,2,0,R,69760
342,30,17,7,0,H,-101080
343,5,2,0,0,R,20920
344,31,14,8,0,H,-166040
345,6,1,2,0,-,-66280
346,0,0,0,0,R,105720
347,29,19,6,0,H,-49000
348,5,2,2,0,R,60760
349,29,17,8,0,H,-106200
350,10,5,0,0,-,-34200
351,0,0,0,0,R,137800
352,27,16,8,0,H,-9160
353,9,5,1,0,R,66720
354,30,16,7,0,H,-104120
355,5,3,2,0,R,5640
356,30,17,7,0,H,-165200
357,4,1,1,0,-,-39320
358,0,0,0,0,R,132680
359,29,17,8,0,H,-34280
360,7,5,1,0,R,61600
361,32,12,8,0,H,-135360
362,5,2,0,0,-,-13360
363,0,0,0,0,R,158640
364,33,10,8,0,H,-48320
365,5,2,1,0,R,67560
366,30,16,8,0,H,-109400
367,8,3,2,0,-,-29640
368,0,0,0,0,R,142360
369,29,15,6,0,H,-12360
370,7,4,2,0,R,77400
371,30,16,7,0,H,-93440
372,7,4,0,0,R,8560
373,29,17,8,0,H,-158400
374,6,4,1,0,-,-52520
375,0,0,0,0,R,119480
376,31,15,7,0,H,-61360
377,4,2,1,0,R,64520
378,29,17,8,0,H,-102440
379,5,3,0,0,R,19560
380,28,18,8,0,H,-137400
381,6,2,2,0,-,-37640
382,0,0,0,0,R,134360
383,29,18,6,0,H,-20360
384,6,2,1,0,R,85520
385,29,15,6,0,H,-69200
386,6,3,2,0,R,30560
387,29,17,8,0,H,-136400
388,6,4,0,0,-,-24400
389,0,0,0,0,R,147600
390,28,18,8,0,H,-9360
391,4,3,1,0,R,116520
392,30,16,7,0,H,-54320
393,5,1,2,0,R,55440
394,30,17,7,0,H,-115400
395,7,0,1,0,-,-19520
396,0,0,0,0,R,152480
397,31,15,7,0,H,-28360
398,6,3,2,0,R,71400
399,31,14,8,0,H,-115560
400,4,3,1,0,R,10320
401,31,15,7,0,H,-170520
402,5,3,1,0,-,-54640
403,0,0,0,0,R,117360
404,32,12,8,0,H,-79600
405,6,2,1,0,R,26280
406,30,16,7,0,H,-144560
407,7,3,2,0,-,-54800
408,0,0,0,0,R,117200
409,30,15,8,0,H,-59760
410,7,2,1,0,R,36120
411,32,12,8,0,H,-160840
412,6,2,0,0,-,-48840
413,0,0,0,0,R,123160
414,32,12,8,0,H,-73800
415,3,3,2,0,R,55960
416,29,19,6,0,H,-98760
417,9,3,1,0,-,-22880
418,0,0,0,0,R,149120
419,29,17,8,0,H,-17840
420,6,3,1,0,R,88040
421,29,14,7,0,H,-72800
422,10,4,2,0,-,-13040
423,0,0,0,0,R,158960
424,31,14,8,0,H,-28000
425,8,3,1,0,R,57880
426,30,16,7,0,H,-112960
427,5,4,2,0,-,-3200
428,0,0,0,0,R,168800
